,country,year,iso_code,population,gdp,biofuel_cons_change_pct,biofuel_cons_change_twh,biofuel_cons_per_capita,biofuel_consumption,biofuel_elec_per_capita,biofuel_electricity,biofuel_share_elec,biofuel_share_energy,carbon_intensity_elec,coal_cons_change_pct,coal_cons_change_twh,coal_cons_per_capita,coal_consumption,coal_elec_per_capita,coal_electricity,coal_prod_change_pct,coal_prod_change_twh,coal_prod_per_capita,coal_production,coal_share_elec,coal_share_energy,electricity_demand,electricity_generation,energy_cons_change_pct,energy_cons_change_twh,energy_per_capita,energy_per_gdp,fossil_cons_change_pct,fossil_cons_change_twh,fossil_elec_per_capita,fossil_electricity,fossil_energy_per_capita,fossil_fuel_consumption,fossil_share_elec,fossil_share_energy,gas_cons_change_pct,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_electricity,gas_energy_per_capita,gas_prod_change_pct,gas_prod_change_twh,gas_prod_per_capita,gas_production,gas_share_elec,gas_share_energy,greenhouse_gas_emissions,hydro_cons_change_pct,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_electricity,hydro_energy_per_capita,hydro_share_elec,hydro_share_energy,low_carbon_cons_change_pct,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_elec_per_capita,low_carbon_electricity,low_carbon_energy_per_capita,low_carbon_share_elec,low_carbon_share_energy,net_elec_imports,net_elec_imports_share_demand,nuclear_cons_change_pct,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_electricity,nuclear_energy_per_capita,nuclear_share_elec,nuclear_share_energy,oil_cons_change_pct,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_electricity,oil_energy_per_capita,oil_prod_change_pct,oil_prod_change_twh,oil_prod_per_capita,oil_production,oil_share_elec,oil_share_energy,other_renewable_consumption,other_renewable_electricity,other_renewable_exc_biofuel_electricity,other_renewables_cons_change_pct,other_renewables_cons_change_twh,other_renewables_elec_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_energy_per_capita,other_renewables_share_elec,other_renewables_share_elec_exc_biofuel,other_renewables_share_energy,per_capita_electricity,primary_energy_consumption,renewables_cons_change_pct,renewables_cons_change_twh,renewables_consumption,renewables_elec_per_capita,renewables_electricity,renewables_energy_per_capita,renewables_share_elec,renewables_share_energy,solar_cons_change_pct,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_electricity,solar_energy_per_capita,solar_share_elec,solar_share_energy,wind_cons_change_pct,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_electricity,wind_energy_per_capita,wind_share_elec,wind_share_energy
21009,United States,1900,USA,78763706.0,613998133248.0,,,,,,,,,,,,,,,,,,23226.369,1829.395,,,,,,,,,,,,,,,,,,,,,,,,,937.493,73.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1252.425,98.646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21010,United States,1901,USA,80336086.0,683106041856.0,,,,,,,,,,,,,,,,8.757,160.198,24765.869,1989.593,,,,,,,,,,,,,,,,,,,,,,,10.817,7.988,1018.572,81.828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.078,8.955,1339.383,107.601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21011,United States,1902,USA,81949920.0,690126913536.0,,,,,,,,,,,,,,,,4.33,86.156,25329.479,2075.749,,,,,,,,,,,,,,,,,,,,,,,9.761,7.988,1095.983,89.816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.918,30.04,1679.575,137.641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21012,United States,1903,USA,83606240.0,723766345728.0,,,,,,,,,,,,,,,,16.783,348.37,28994.467,2424.118,,,,,,,,,,,,,,,,,,,,,,,8.893,7.988,1169.809,97.803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.181,18.143,1863.304,155.784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21013,United States,1904,USA,85296008.0,714621845504.0,,,,,,,,,,,,,,,,-1.55,-37.574,27979.551,2386.544,,,,,,,,,,,,,,,,,,,,,,,8.167,7.988,1240.281,105.791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.543,25.772,2128.54,181.556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21014,United States,1905,USA,87019897.0,767532728320.0,,,,,,,,,,,,,,,,11.627,277.483,30613.996,2664.027,,,,,,,,,,,,,,,,,,,,,,,7.55,7.988,1307.501,113.779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.06,27.342,2400.578,208.898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21015,United States,1906,USA,88778597.0,855994269696.0,,,,,,,,,,,,,,,,5.458,145.4,31645.318,2809.427,,,,,,,,,,,,,,,,,,,,,,,7.02,7.988,1371.572,121.766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.102,-12.746,2209.447,196.152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21016,United States,1907,USA,90572810.0,869070536704.0,,,,,,,,,,,,,,,,15.986,449.107,35976.953,3258.534,,,,,,,,,,,,,,,,,,,,,,,6.56,7.988,1432.592,129.754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.306,61.406,2843.657,257.558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21017,United States,1908,USA,92403252.0,799355568128.0,,,,,,,,,,,,,,,,-13.431,-437.666,30527.797,2820.868,,,,,,,,,,,,,,,,,,,,,,,6.156,7.988,1490.657,137.742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.487,19.283,2996.004,276.841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21018,United States,1909,USA,94167861.0,890110017536.0,,,,,,,,,,,,,,,,10.814,305.06,33195.27,3125.927,,,,,,,,,,,,,,,,,,,,,,,5.799,7.988,1547.547,145.729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,7.199,3016.31,284.039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
